departamento,NRO.,MUNICIPIO,ENTIDAD,DIRECCIÓN,query_address,country,admin_area,lon,lat
LA PAZ ,1,ACHACACHI,Banco para el Fomento a Iniciativas Económicas S.A.,"Plaza Mariscal Andrés de Santa Cruz No.50, Zona Masaya","Plaza Mariscal Andrés de Santa Cruz No.50, Zona Masaya ACHACACHI",BO,LA PAZ ,-68.7035738,-16.0285589
LA PAZ ,2,ACHACACHI,Banco Prodem S.A.,CALLE MAX PAREDES No. 190 A MEDIA CUADRA DE LA PLAZA MARISCAL SANTA CRUZ,CALLE MAX PAREDES No. 190 A MEDIA CUADRA DE LA PLAZA MARISCAL SANTA CRUZ ACHACACHI,BO,LA PAZ ,-68.68527449999999,-16.0431642
LA PAZ ,3,ACHACACHI,Banco Unión S.A.,"Avenida 20 de octubre s/n, entre calles General Gonzales y Murillo frente a la plaza Avaroa, zona noroeste.","Avenida 20 de octubre s/n, entre calles General Gonzales y Murillo frente a la plaza Avaroa, zona noroeste. ACHACACHI",BO,LA PAZ ,-68.1265597,-16.5104852
LA PAZ ,4,ACHACACHI,CRECER IFD,"C/Bartolina Sisa, esq. Plaza Tupac Katari N°50","C/Bartolina Sisa, esq. Plaza Tupac Katari N°50 ACHACACHI",BO,LA PAZ ,-68.7035738,-16.0285589
LA PAZ ,5,ACHACACHI,DIACONÍA FRIF - IFD,"PLAZA EL CARMEN, Nº 170, ENTRE CALLES YANACOCHA Y PACAJES, ZONA CENTRAL MASAYA.","PLAZA EL CARMEN, Nº 170, ENTRE CALLES YANACOCHA Y PACAJES, ZONA CENTRAL MASAYA. ACHACACHI",BO,LA PAZ ,-68.7817877,-17.4368952
LA PAZ ,6,APOLO,CRECER IFD,Av. Litoral S/N entre calles 6 de Agosto y Germán Quiroga (lado Norte de la Plaza Principal),Av. Litoral S/N entre calles 6 de Agosto y Germán Quiroga (lado Norte de la Plaza Principal) APOLO,BO,LA PAZ ,-68.20224759999999,-16.5387489
LA PAZ ,7,APOLO,Banco PYME Ecofuturo S.A.,Plaza Principal de Apolo - ATENDERÁ LOS LUNES Y MIÉRCOLES,Plaza Principal de Apolo - ATENDERÁ LOS LUNES Y MIÉRCOLES APOLO,BO,LA PAZ ,-68.41143509999999,-14.71923
LA PAZ ,8,BATALLAS,Banco Unión S.A.,"Calle Los Andes s/n, lado Gobierno Autonomo Municipal de Batallas,Plaza Rene Barrientos Ortuño,zona Noroeste.","Calle Los Andes s/n, lado Gobierno Autonomo Municipal de Batallas,Plaza Rene Barrientos Ortuño,zona Noroeste. BATALLAS",BO,LA PAZ ,-68.5317017,-16.2995872
LA PAZ ,9,BATALLAS,CRECER IFD,"C/Mariscal Santa Cruz S/N, entre Rufino Mendez y Plaza Rene Barrientos","C/Mariscal Santa Cruz S/N, entre Rufino Mendez y Plaza Rene Barrientos BATALLAS",BO,LA PAZ ,-68.3816245,-16.0950738
LA PAZ ,10,BATALLAS,Sembrar Sartawi IFD,"Plaza Principal, Batallas.","Plaza Principal, Batallas. BATALLAS",BO,LA PAZ ,-68.533658,-16.2976181
LA PAZ ,11,BATALLAS,DIACONÍA FRIF - IFD,PLAZA PRINCIPAL RENÉ BARRIENTOS ORTUÑO.,PLAZA PRINCIPAL RENÉ BARRIENTOS ORTUÑO. BATALLAS,BO,LA PAZ ,-68.3816245,-16.0950738
LA PAZ ,12,CAIROMA,CRECER IFD,Av. Principal lado del río Cairoma S/N,Av. Principal lado del río Cairoma S/N CAIROMA,BO,LA PAZ ,-67.6185376,-16.9010075
LA PAZ ,13,CAIROMA,Sembrar Sartawi IFD,Plaza 16 de Julio s/n,Plaza 16 de Julio s/n CAIROMA,BO,LA PAZ ,-68.1714609,-16.4967763
LA PAZ ,14,CAJUATA,Banco Prodem S.A.,"AVENIDA PRINCIPAL S/N, FRENTE GOBIERNO AUTÓNOMO MUNICIPAL DE CAJUATA","AVENIDA PRINCIPAL S/N, FRENTE GOBIERNO AUTÓNOMO MUNICIPAL DE CAJUATA CAJUATA",BO,LA PAZ ,-67.1712754,-16.699626
LA PAZ ,15,CAQUIAVIRI,DIACONÍA FRIF - IFD,"CARRETERA PRINCIPAL A CHARAÑA, RUTA F19, S/N, CAQUIAVIRI","CARRETERA PRINCIPAL A CHARAÑA, RUTA F19, S/N, CAQUIAVIRI CAQUIAVIRI",BO,LA PAZ ,-69.44418999999999,-17.5926979
LA PAZ ,16,CARANAVI,Banco para el Fomento a Iniciativas Económicas S.A.,"Av. Mariscal Sta. Cruz s/n casi esquina Simón Bolivar, Zona Central","Av. Mariscal Sta. Cruz s/n casi esquina Simón Bolivar, Zona Central CARANAVI",BO,LA PAZ ,-68.1356239,-16.4980392
