Nro,PROVINCIA,CANTÓN,PARROQUIA,RAZÓN.SOCIAL.CONCENTRADOR,RAZÓN.SOCIAL.IFI,RAZÓN.SOCIAL.AGENCIA,NOMBRE.AGENCIA,TIPO.AGENCIA,DIRECCIÓN,admin_area,country,ubicacion_aproximada,query_address,lon,lat
1,EL ORO,MACHALA,MACHALA,Financoop,COAC CORPORACION CENTRO,COAC CORPORACION CENTRO,COAC CORPORACION CENTRO LTDA MACHALA,COAC,BOLIVAR ENTRE JUNIN Y JUAN MONTALVO CC LA FERIA,EL ORO,EC,FALSE,"BOLIVAR ENTRE JUNIN Y JUAN MONTALVO CC LA FERIA, MACHALA, MACHALA",-79.95402779999999,-3.2550197
1,EL ORO,MACHALA,MACHALA,Banco del Pacífico,BANECUADOR,BANECUADOR,BNF-MACHALA,BANCA PÚBLICA,9 DE MAYO N? 1801 AV 25 DE JUNIO,EL ORO,EC,FALSE,"9 DE MAYO N? 1801 AV 25 DE JUNIO, MACHALA, MACHALA",-79.9575699,-3.260153
1,EL ORO,MACHALA,MACHALA,Banco del Pacífico,BANCO DEL PACIFICO,BANCO DEL PACIFICO,MACHALA-PUERTO BOLIVAR,BANCA PRIVADA,AUTORIDAD PORTUARIA AV.BOLÍVAR MADERO VARGAS,EL ORO,EC,FALSE,"AUTORIDAD PORTUARIA AV.BOLÍVAR MADERO VARGAS, MACHALA, MACHALA",-79.99503349999999,-3.2611403
1,EL ORO,MACHALA,MACHALA,Banco del Pacífico,BANCO DEL PACIFICO,BANCO DEL PACIFICO,MACHALA-EL PASEO SHOPPING,BANCA PRIVADA,KM. 4.5 VÍA PASAJE,EL ORO,EC,FALSE,"KM. 4.5 VÍA PASAJE, MACHALA, MACHALA",-79.94109399999999,-3.261906
1,EL ORO,MACHALA,MACHALA,Banco del Pacífico,BANCO DEL PACIFICO,BANCO DEL PACIFICO,CNB SOFT_RP ANGEL CAMACHO,CNB,ROCAFUERTO ENTRE JUNIN Y TARQUI,EL ORO,EC,FALSE,"ROCAFUERTO ENTRE JUNIN Y TARQUI, MACHALA, MACHALA",-79.95756800000001,-3.2612084
1,EL ORO,MACHALA,MACHALA,Banco del Pacífico,BANCO DEL PACIFICO,BANCO DEL PACIFICO,CNB SOFT_RP COPY EXPRESS,CNB,MANUEL SERRANO Y GUAYAS,EL ORO,EC,FALSE,"MANUEL SERRANO Y GUAYAS, MACHALA, MACHALA",-79.96278459999999,-3.261832
1,EL ORO,MACHALA,MACHALA,Banco del Pacífico,BANCO DEL PACIFICO,BANCO DEL PACIFICO,CNB SOFT_RP COPY EXPRESS 2,CNB,SAN MARTIN Y JUAN MONTALVO,EL ORO,EC,FALSE,"SAN MARTIN Y JUAN MONTALVO, MACHALA, MACHALA",-79.9632697,-3.264633
1,EL ORO,MACHALA,MACHALA,Banco del Pacífico,COOPERATIVA DE AHORRO Y CREDITO COOPROGRESO,COOPERATIVA DE AHORRO Y CREDITO COOPROGRESO,MACHALA,COAC,AVENIDA CENTRAL 25 DE JUNIO,EL ORO,EC,FALSE,"AVENIDA CENTRAL 25 DE JUNIO, MACHALA, MACHALA",-79.96600939999999,-3.2524792
1,EL ORO,MACHALA,MACHALA,Banco del Pacífico,COOPERATIVA DE AHORRO Y CREDITO ERCO LTDA,COOPERATIVA DE AHORRO Y CREDITO ERCO LTDA,AGENCIA MACHALA,COAC,Bolivar s/n y Guayas,EL ORO,EC,FALSE,"Bolivar  y Guayas, MACHALA, MACHALA",-79.9606328,-3.2594223
1,EL ORO,MACHALA,MACHALA,Banco del Pacífico,TRANSFERUNION,TRANSFERUNION,TIA CALLE SUCRE MACHALA,CNB,"CALLE SUCRE # 414 Y 9 DE MAYO, DENTRO DEL ALMACÉN TIA",EL ORO,EC,TRUE,"MACHALA, MACHALA",-79.9553924,-3.2581112
