Nro,PROVINCIA,CANTÓN,PARROQUIA,RAZÓN SOCIAL CONCENTRADOR,RAZÓN SOCIAL IFI,RAZÓN SOCIAL AGENCIA,NOMBRE AGENCIA,TIPO AGENCIA,DIRECCIÓN PRIMARIA AGENCIA / CORRESPONSAL O PUNTO PAGO,full_address,country,admin_area,lon,lat
1,AZUAY,CAMILO PONCE ENRIQUEZ,CAMILO PONCE ENRIQUEZ,Banco del Pacífico,BANECUADOR,BANECUADOR,BNF-CAMILO PONCE ENRIQUEZ,BANCA PÚBLICA,24 DE ENERO ENTRE RIO 7 Y 3 DE NOVIEMBRE,"24 DE ENERO ENTRE RIO 7 Y 3 DE NOVIEMBRE, CAMILO PONCE ENRIQUEZ",EC,AZUAY,-79.7441844,-3.06136
1,AZUAY,CAMILO PONCE ENRIQUEZ,CAMILO PONCE ENRIQUEZ,Red Transaccional Cooperativa S.A.,COOPERATIVA DE AHORRO Y CREDITO JARDIN AZUAYO,COOPERATIVA DE AHORRO Y CREDITO JARDIN AZUAYO,Ponce Enriquez,COAC,CALLE 24 DE ENERO ENTRE JUAN MALDONADO,"CALLE 24 DE ENERO ENTRE JUAN MALDONADO, CAMILO PONCE ENRIQUEZ",EC,AZUAY,-79.7441844,-3.06136
1,AZUAY,CAMILO PONCE ENRIQUEZ,CAMILO PONCE ENRIQUEZ,Red Transaccional Cooperativa S.A.,COOPERATIVA DE AHORRO Y CREDITO ONCE DE JUNIO,COOPERATIVA DE AHORRO Y CREDITO ONCE DE JUNIO,PONCE ENRIQUEZ,COAC,24 DE ENERO Y JUAN MALDONADO,"24 DE ENERO Y JUAN MALDONADO, CAMILO PONCE ENRIQUEZ",EC,AZUAY,-79.7234917,-3.0470542
1,AZUAY,CAMILO PONCE ENRIQUEZ,CAMILO PONCE ENRIQUEZ,BANRED,COOPERATIVA DE AHORRO Y CREDITO SANTA ROSA,COOPERATIVA DE AHORRO Y CREDITO SANTA ROSA,AGENCIA CAMILO PONCE,COAC,FRANCISCO VIDAL Y 28 DE MARZO FRENTE A LA FISCALIA,"FRANCISCO VIDAL Y 28 DE MARZO FRENTE A LA FISCALIA, CAMILO PONCE ENRIQUEZ",EC,AZUAY,-79.7441844,-3.06136
1,AZUAY,CAMILO PONCE ENRIQUEZ,CAMILO PONCE ENRIQUEZ,BANRED,BANCO PICHINCHA,BORJA LLIVICHUZHCA ALEX RODRIGO,TIENDA ANAHI,CNB,VIA PRINCIPAL DE INGRESO A TENGUEL,"VIA PRINCIPAL DE INGRESO A TENGUEL, CAMILO PONCE ENRIQUEZ",EC,AZUAY,-79.78698,-2.995086
1,AZUAY,CAMILO PONCE ENRIQUEZ,CAMILO PONCE ENRIQUEZ,BANRED,BANCO PICHINCHA,BARROS BERMEO CINTHYA MARIA,JELOCITA,CNB,RCTO. SAN ALFONSO,"RCTO. SAN ALFONSO, CAMILO PONCE ENRIQUEZ",EC,AZUAY,-79.7441844,-3.06136
1,AZUAY,CAMILO PONCE ENRIQUEZ,CAMILO PONCE ENRIQUEZ,BANRED,BANCO PICHINCHA,RAMIREZ MACAS IVIS ALEXANDRA,CNB BAZAR Y NOVEDADES ARIEL,CNB,VIA PRINCIPAL VIA ZHUMIRAL,"VIA PRINCIPAL VIA ZHUMIRAL, CAMILO PONCE ENRIQUEZ",EC,AZUAY,-79.6848909,-2.979583
1,AZUAY,CAMILO PONCE ENRIQUEZ,CAMILO PONCE ENRIQUEZ,BANRED,BANCO DE GUAYAQUIL,TORRES TORRES ANITA DEL LOURDES,CNB EL CHAPUNET,CNB,BARRIO EL CISNE VIA A LAS MINAS E/ LA ESCUELA Y LA IGLESIA,"BARRIO EL CISNE VIA A LAS MINAS E/ LA ESCUELA Y LA IGLESIA, CAMILO PONCE ENRIQUEZ",EC,AZUAY,-79.7441844,-3.06136
1,AZUAY,CAMILO PONCE ENRIQUEZ,CAMILO PONCE ENRIQUEZ,BANRED,BANCO DE GUAYAQUIL,PACCHA MEDINA LUIS ANGEL,Cabinas Porta Paccha,CNB,CALLE LOJA ENTRE PICHINCHA Y MANABI,"CALLE LOJA ENTRE PICHINCHA Y MANABI, CAMILO PONCE ENRIQUEZ",EC,AZUAY,-79.2112769,-4.0078909
1,AZUAY,CAMILO PONCE ENRIQUEZ,CAMILO PONCE ENRIQUEZ,BANRED,BANCO DE GUAYAQUIL,MARTINEZ OBANDO AURA CENAIDA,ABARROTES MARTINEZ,CNB,CALLE JULIO MORENO KM 11 RCTO SAN GABRIE,"CALLE JULIO MORENO KM 11 RCTO SAN GABRIE, CAMILO PONCE ENRIQUEZ",EC,AZUAY,-79.7441844,-3.06136
1,AZUAY,CAMILO PONCE ENRIQUEZ,CAMILO PONCE ENRIQUEZ,BANRED,BANCO DE GUAYAQUIL,ZHICAY ULLOA JONNATHAN ENRIQUE,DE CLICK SERVICE 2,CNB,28 DE MARZO Y PANAMERICANA DEBAJO DE LA,"28 DE MARZO Y PANAMERICANA DEBAJO DE LA, CAMILO PONCE ENRIQUEZ",EC,AZUAY,-79.7441844,-3.06136
1,AZUAY,CAMILO PONCE ENRIQUEZ,CAMILO PONCE ENRIQUEZ,BANRED,BANCO DE GUAYAQUIL,ZHICAY ULLOA JONNATHAN ENRIQUE,DE CLICK SERVICE,CNB,28 DE MARZO Y PANAMERICANA ABAJO DE LA N,"28 DE MARZO Y PANAMERICANA ABAJO DE LA N, CAMILO PONCE ENRIQUEZ",EC,AZUAY,-79.7441844,-3.06136
1,AZUAY,CAMILO PONCE ENRIQUEZ,CAMILO PONCE ENRIQUEZ,BANRED,BANCO DE GUAYAQUIL,GUERRERO MENDIETA TANYA RUTH,CYBER COMPU SERVICIOS,CNB,SECTOR EL MANATIAL DIAGONAL COOP.11 DE J,"SECTOR EL MANATIAL DIAGONAL COOP.11 DE J, CAMILO PONCE ENRIQUEZ",EC,AZUAY,-79.7441844,-3.06136
1,AZUAY,CAMILO PONCE ENRIQUEZ,CAMILO PONCE ENRIQUEZ,BANRED,BANCO DE GUAYAQUIL,GUZMAN PLACENCIA ROSA TARGELIA,CYBER MANIA.NET,CNB,BARRIO 29 DE ABRIL,"BARRIO 29 DE ABRIL, CAMILO PONCE ENRIQUEZ",EC,AZUAY,-79.7441844,-3.06136
1,AZUAY,CAMILO PONCE ENRIQUEZ,CAMILO PONCE ENRIQUEZ,BANRED,BANCO DE GUAYAQUIL,ZAMBRANO MENDOZA FRANCISCO NEPTALI,FARMACIA PASTEUR,CNB,Av. Quito y Av Tsachila,"Av. Quito y Av Tsachila, CAMILO PONCE ENRIQUEZ",EC,AZUAY,-79.16836719999999,-0.255038
1,AZUAY,CAMILO PONCE ENRIQUEZ,CAMILO PONCE ENRIQUEZ,BANRED,BANCO DE GUAYAQUIL,AREVALO CELI FANNY PETRONILA,REBELU,CNB,B. LA FLORIDA Y SIN CALLE FRENTE AL PARQ,"B. LA FLORIDA Y SIN CALLE FRENTE AL PARQ, CAMILO PONCE ENRIQUEZ",EC,AZUAY,-81.5157535,27.6648274
1,AZUAY,CAMILO PONCE ENRIQUEZ,CAMILO PONCE ENRIQUEZ,BANRED,BANCO DE GUAYAQUIL,CABRERA FAJARDO SIXTO BENJAMIN,MULTINEGOCIO CABRERA,CNB,BARRIO 3 DE NOVIEMBRE Y SIN CALLE,"BARRIO 3 DE NOVIEMBRE Y SIN CALLE, CAMILO PONCE ENRIQUEZ",EC,AZUAY,-79.7441844,-3.06136
1,AZUAY,CAMILO PONCE ENRIQUEZ,CAMILO PONCE ENRIQUEZ,BANRED,BANCO DE GUAYAQUIL,RODRIGUEZ RODRIGUEZ YULY ARIANA,NOVICYBER YULIETH,CNB,BARROS ARIAS ELOY Y HUMBERTO CARRION,"BARROS ARIAS ELOY Y HUMBERTO CARRION, CAMILO PONCE ENRIQUEZ",EC,AZUAY,-79.7455555,-3.0608439
1,AZUAY,CAMILO PONCE ENRIQUEZ,CAMILO PONCE ENRIQUEZ,BANRED,BANCO DE GUAYAQUIL,ROBLEZ TORRES MARIANA DE JESUS,CYBERT YANBAL,CNB,CORNELIO CORONEL 0 BELLA RICA,"CORNELIO CORONEL 0 BELLA RICA, CAMILO PONCE ENRIQUEZ",EC,AZUAY,-79.7441844,-3.06136
1,AZUAY,CHORDELEG,CHORDELEG,BANRED,BANCO PICHINCHA,RODAS SANCHEZ CESAR AGUSTIN,COMERCIAL RODAS E HIJOS,CNB,JUAN BAUTISTA COBOS,"JUAN BAUTISTA COBOS, CHORDELEG",EC,AZUAY,-78.7757355,-2.9226884
1,AZUAY,CHORDELEG,CHORDELEG,BANRED,BANCO PICHINCHA,VASQUEZ PERALTA JORGE ANDRES,FARMACIA CRUZ AZUL LA GLORIETA,CNB,JUAN BAUTISTA COBOS,"JUAN BAUTISTA COBOS, CHORDELEG",EC,AZUAY,-78.7757355,-2.9226884
1,AZUAY,CHORDELEG,CHORDELEG,BANRED,BANCO PICHINCHA,ALVAREZ ZUNIGA CRISTIAN JEOVANNY,CNB CHINO MUSIC,CNB,GUAYAQUIL,"GUAYAQUIL, CHORDELEG",EC,AZUAY,-78.7747265,-2.9225486
1,AZUAY,CHORDELEG,CHORDELEG,BANRED,BANCO DE GUAYAQUIL,RODAS PARRA ERIKA DAYANA,COMERCIAL RODAS,CNB,JUAN BAUTISTA COBOS Y 4 DE OCTUBRE,"JUAN BAUTISTA COBOS Y 4 DE OCTUBRE, CHORDELEG",EC,AZUAY,-78.7764981,-2.9239809
1,AZUAY,CHORDELEG,CHORDELEG,BANRED,BANCO DE GUAYAQUIL,CORONEL RODRIGUEZ ROSA ORFELINA,TIENDA Y BAZAR DE MONKEY,CNB,4 DE OCTUBRE Y GUAYAQUIL AL LADO DE MERC,"4 DE OCTUBRE Y GUAYAQUIL AL LADO DE MERC, CHORDELEG",EC,AZUAY,-79.8890662,-2.1894128
1,AZUAY,CUENCA,BAÑOS,BANRED,BANCO PICHINCHA,VERA PESANTEZ MARIANA DE JESUS,LAS CABINAS,CNB,VÍA A NARANCAY,"VÍA A NARANCAY, CUENCA",EC,AZUAY,-79.05427569999999,-2.9294695
1,AZUAY,CUENCA,BAÑOS,BANRED,BANCO PICHINCHA,DUCHI SANCHEZ ROSA EMPERATRIZ,FERRO TIENDA,CNB,VIA A MISICATA,"VIA A MISICATA, CUENCA",EC,AZUAY,-78.9892373,-2.88866
1,AZUAY,CUENCA,BAÑOS,BANRED,BANCO PICHINCHA,JIMBO REMACHE MARIA MERCEDES,MINIMARKET REINA DEL CISNE,CNB,PRIMERO DE SEPTIEMBRE,"PRIMERO DE SEPTIEMBRE, CUENCA",EC,AZUAY,-79.05014059999999,-2.9067164
1,AZUAY,CUENCA,BAÑOS,BANRED,BANCO PICHINCHA,DELEG VARGAS ROSA ELVIRA,TIENDA SIN ALCOHOL,CNB,PANAMERICANA SUR,"PANAMERICANA SUR, CUENCA",EC,AZUAY,-78.9619408,-2.8816792
1,AZUAY,CUENCA,BAÑOS,BANRED,BANCO PICHINCHA,FERNANDEZ MOROCHO ENMA LUCIA,TIENDA XAVIER,CNB,CALLE DEL RETORNO,"CALLE DEL RETORNO, CUENCA",EC,AZUAY,-78.9851632,-2.8669478
1,AZUAY,CUENCA,BAÑOS,BANRED,BANCO PICHINCHA,LAZO ONCE ROSA BEATRIZ,BAZAR Y PAPELERIA EL OFERTON,CNB,CAMINO VIEJO A BAÑOS,"CAMINO VIEJO A BAÑOS, CUENCA",EC,AZUAY,-79.0435699,-2.9148504
1,AZUAY,CUENCA,BAÑOS,BANRED,BANCO PICHINCHA,BERMEO CHIMBO HERNAN MARCELO,FARMACIA BAÑOS 24 HORAS,CNB,AV RICARDO DURAN,"AV RICARDO DURAN, CUENCA",EC,AZUAY,-79.0472684,-2.9211165
1,AZUAY,CUENCA,BAÑOS,BANRED,BANCO DE GUAYAQUIL,SERRANO CARRION LAURA TERESA,SU MARKET Y PAPELERIA,CNB,ERNESTO LOPEZ 3-12 Y CARLOS BERREZUETA,"ERNESTO LOPEZ 3-12 Y CARLOS BERREZUETA, CUENCA",EC,AZUAY,-79.0293789,-2.9005838
1,AZUAY,CUENCA,BAÑOS,BANRED,BANCO DE GUAYAQUIL,BERREZUETA PARRA MONICA BEATRIZ,MINIMARKET NARANCAY,CNB,PANAMERICANA SUR VIA NERO BARRIO NARANCA,"PANAMERICANA SUR VIA NERO BARRIO NARANCA, CUENCA",EC,AZUAY,-78.97508479999999,-2.9019927
1,AZUAY,CUENCA,BAÑOS,BANRED,BANCO DE GUAYAQUIL,DELEG VARGAS ROSA ELVIRA,TIENDA SIN ALCOHOL EL AMANECER,CNB,LA CALERA Y PANAMERICANA SUR FRENTE URBA,"LA CALERA Y PANAMERICANA SUR FRENTE URBA, CUENCA",EC,AZUAY,-74.1731891,-15.8759768
1,AZUAY,CUENCA,BAÑOS,BANRED,BANCO DE GUAYAQUIL,NACIPUCHA ASTUDILLO MARIA VERONICA,MINIMAXI,CNB,AV. LUIS MOSCOSO SECTOR LA CONCORDIA,"AV. LUIS MOSCOSO SECTOR LA CONCORDIA, CUENCA",EC,AZUAY,-79.0383549,-2.9080313
1,AZUAY,CUENCA,BAÑOS,BANRED,BANCO DE GUAYAQUIL,NIVICELA SAQUICELA MARCIA XIMENA,PAÑALERIA S.B.D.,CNB,RICARDO DURAN A 2 CUADRAS DEL COLEGIO BO,"RICARDO DURAN A 2 CUADRAS DEL COLEGIO BO, CUENCA",EC,AZUAY,-79.052401,-2.9193965
1,AZUAY,CUENCA,BAÑOS,BANRED,BANCO DE GUAYAQUIL,ILLESCAS VIZHNAY LEONELA ESPERANZA,COMERCIAL ARIAS,CNB,HUISHIL SAN JOSE AV 1 DE SEPTIEMBRE A 2,"HUISHIL SAN JOSE AV 1 DE SEPTIEMBRE A 2, CUENCA",EC,AZUAY,-79.068859,-2.9128988
1,AZUAY,CUENCA,BAÑOS,BANRED,BANCO DE GUAYAQUIL,JIMBO REMACHE MARIA MERCEDES,MINIMARKET REINA DEL CISNE,CNB,LUIS MOSCOS T YANUNCAY Y PRIMERO DE SEPT,"LUIS MOSCOS T YANUNCAY Y PRIMERO DE SEPT, CUENCA",EC,AZUAY,-79.0383549,-2.9080313
1,AZUAY,CUENCA,BAÑOS,BANRED,BANCO DE GUAYAQUIL,ARIAS BERMEO DIANA MERCEDES,1CASA MUSICAL MARIA BELEN1,CNB,NARANCAY BAJO FRENTE A LA FABRICA DE DES,"NARANCAY BAJO FRENTE A LA FABRICA DE DES, CUENCA",EC,AZUAY,-79.05427569999999,-2.9294695
1,AZUAY,CUENCA,BAÑOS,BANRED,BANCO DE GUAYAQUIL,CRIOLLO JARAMA MANUEL ROMAN,TIENDA GUADALUPE,CNB,PRIMERO DE SEPTIEMBRE S/N CANTÓN ATACAME,"PRIMERO DE SEPTIEMBRE S/N CANTÓN ATACAME, CUENCA",EC,AZUAY,-79.84648039999999,0.8680071
1,AZUAY,CUENCA,BAÑOS,Banco del Pacífico,COOPERATIVA DE AHORRO Y CREDITO ERCO LTDA,COOPERATIVA DE AHORRO Y CREDITO ERCO LTDA,AGENCIA COMUNAL,COAC,Av Ricardo Duran y Vía Baños,"Av Ricardo Duran y Vía Baños, CUENCA",EC,AZUAY,-79.03987269999999,-2.9236521
1,AZUAY,CUENCA,BAÑOS,Banco del Pacífico,COOPERATIVA DE AHORRO Y CREDITO ERCO LTDA,COOPERATIVA DE AHORRO Y CREDITO ERCO LTDA,AGENCIA BAÑOS,COAC,Av Ricardo Duran s/n y entrada a Huizhil,"Av Ricardo Duran s/n y entrada a Huizhil, CUENCA",EC,AZUAY,-79.0472684,-2.9211165
1,AZUAY,CUENCA,BAÑOS,BANRED,BANCO PICHINCHA,CHICA VERA NELLY CARMITA,CNB MINIMERCADO BAÑOS,CNB,AV RICARDO DURAN,"AV RICARDO DURAN, CUENCA",EC,AZUAY,-79.0472684,-2.9211165
1,AZUAY,CUENCA,BAÑOS,BANRED,BANCO PICHINCHA,PIZARRO CHICAIZA KATHERINE ELIZABETH,CNB PAPELERIA  ALISON,CNB,ANTONIO LLORET BASTIDAS,"ANTONIO LLORET BASTIDAS, CUENCA",EC,AZUAY,-79.0435699,-2.9148504
1,AZUAY,CUENCA,BELLAVISTA,BANCO DESARROLLO DE LOS PUEBLOS SA,BANCO DESARROLLO DE LOS PUEBLOS SA,BANCO DESARROLLO DE LOS PUEBLOS SA,CUENCA,BANCA PRIVADA,FEDERICO MALO 1203 Y TADEO TORRES,"FEDERICO MALO 1203 Y TADEO TORRES, CUENCA",EC,AZUAY,-79.00479639999999,-2.905199
